title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 13 128GB Midnight (MLPF3),31999.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-13-128gb-midnight/p71357065/,True,iPhone 13 ,128GB,Midnight,MLPF3
iPhone 11 128GB Black (MHDH3FS/A),23999.0,UAH,https://eldorado.ua/uk/smartfon-apple-i-phone-11-128-gb-black/p71273815/,True,iPhone 11 ,128GB,Black,MHDH3FS/A
iPhone 11 128GB White (MHDJ3FS/A),23999.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-11-128gb-white-mhdj3fs-a-/p71311122/,True,iPhone 11 ,128GB,White,MHDJ3FS/A
iPhone 15 128GB Black (MTP03RX/A),42499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-128gb-black-mtp03rx/p71465447/,True,iPhone 15 ,128GB,Black,MTP03RX/A
iPhone 15 128GB Pink (MTP13RX/A),42499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-128gb-pink-mtp13rx/p71465448/,True,iPhone 15 ,128GB,Pink,MTP13RX/A
iPhone 15 Plus 128GB Black (MU0Y3RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-plus-128gb-black-mu0y3rx/p71465462/,True,iPhone 15 Plus,128GB,Black,MU0Y3RX/A
iPhone 15 Pro 256GB Blue Titanium (MTV63RX/A),58499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-pro-256gb-blue-titanium-mtv63rx/p71465484/,True,iPhone 15 Pro,256GB,Blue Titanium,MTV63RX/A
iPhone 13 128GB Starlight (MLPG3),31999.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-13-128gb-starlight/p71357067/,True,iPhone 13 ,128GB,Starlight,MLPG3
iPhone 15 Pro 256GB Black Titanium (MTV13RX/A),58499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-pro-256gb-black-titanium-mtv13rx/p71465481/,True,iPhone 15 Pro,256GB,Black Titanium,MTV13RX/A
iPhone 15 Pro 128GB Blue Titanium (MTV03RX/A),53499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-pro-128gb-blue-titanium-mtv03rx/p71465480/,True,iPhone 15 Pro,128GB,Blue Titanium,MTV03RX/A
iPhone 15 Plus 256GB Blue (MU1F3RX/A),52499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-plus-256gb-blue-mu1f3rx/p71465470/,True,iPhone 15 Plus,256GB,Blue,MU1F3RX/A
