title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 15 Pro 256GB Natural Titanium (MTV53RX/A),58499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_256gb_deep_purple.html,True,iPhone 15 Pro,256GB,Natural Titanium,MTV53RX/A
iPhone 15 Plus 128GB Black (MU0Y3RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_128gb_midnight.html,True,iPhone 15 Plus,128GB,Black,MU0Y3RX/A
iPhone 11 128GB White (MHDJ3) (без адаптера),23999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-128gb-whiteno-adapter-.html,True,iPhone 11 ,128GB,White,MHDJ3
iPhone 13 128GB Midnight (MLPF3HU/A),31999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_black.html,True,iPhone 13 ,128GB,Midnight,MLPF3HU/A
iPhone 11 128GB Black (MHDH3) (без адаптера),23999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-128gb-blackno-adapter-.html,True,iPhone 11 ,128GB,Black,MHDH3
iPhone 13 128GB Starlight (MLPG3HU/A),31999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_white.html,True,iPhone 13 ,128GB,Starlight,MLPG3HU/A
iPhone 12 128GB Purple (MJNP3FS/A),27499.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-128gb-purple-1.html,True,iPhone 12 ,128GB,Purple,MJNP3FS/A
iPhone 15 128GB Black (MTP03RX/A),42499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_midnight.html,True,iPhone 15 ,128GB,Black,MTP03RX/A
iPhone 13 128 Gb Green (MNGK3HU/A),31999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_green_60_8883.html,True,iPhone 13 ,128 Gb,Green,MNGK3HU/A
iPhone 15 256GB Black (MTP63RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_midnight.html,True,iPhone 15 ,256GB,Black,MTP63RX/A
iPhone 14 Pro Max 256GB Deep Purple,57499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_256gb_sierra_blue.html,True,iPhone 14 Pro Max,256GB,Deep Purple,
iPhone 13 128GB Blue (MLPK3HU/A),31999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_blue.html,True,iPhone 13 ,128GB,Blue,MLPK3HU/A
iPhone 15 128GB Green (MTP53RX/A),42499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_product_red.html,True,iPhone 15 ,128GB,Green,MTP53RX/A
iPhone 15 Pro 256GB Blue Titanium (MTV63RX/A),58499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_256gb_gold.html,True,iPhone 15 Pro,256GB,Blue Titanium,MTV63RX/A
iPhone 15 128GB Pink (MTP13RX/A),42499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_purple.html,True,iPhone 15 ,128GB,Pink,MTP13RX/A
iPhone 15 128GB Blue (MTP43RX/A),42499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_blue.html,True,iPhone 15 ,128GB,Blue,MTP43RX/A
iPhone 15 Plus 256GB Black (MU183RX/A),52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_256gb_midnight.html,True,iPhone 15 Plus,256GB,Black,MU183RX/A
iPhone 14 Plus 128GB Purple,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_pink.html,True,iPhone 14 Plus,128GB,Purple,
iPhone 11 64GB White (MHDC3FS/A),20999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-64gb-whiteno-adapter-.html,True,iPhone 11 ,64GB,White,MHDC3FS/A
iPhone 15 256GB Blue (MTP93RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_blue.html,True,iPhone 15 ,256GB,Blue,MTP93RX/A
iPhone 11 64GB Black (MHDA3FS/A) (без адаптера),20999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-64gb-blackno-adapter-.html,True,iPhone 11 ,64GB,Black,MHDA3FS/A
iPhone 15 Plus 128GB Blue (MU163RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_128gb_blue.html,True,iPhone 15 Plus,128GB,Blue,MU163RX/A
iPhone 14 Pro Max 256GB Gold,57499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_256gb_gold.html,True,iPhone 14 Pro Max,256GB,Gold,
iPhone 14 128GB Midnight,36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_midnight.html,True,iPhone 14 ,128GB,Midnight,
iPhone 12 128GB White (MGJC3FS/A),27499.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-128gb-white.html,True,iPhone 12 ,128GB,White,MGJC3FS/A
iPhone 12 128GB Green (MGJF3FS/A),27499.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-128gb-green.html,True,iPhone 12 ,128GB,Green,MGJF3FS/A
iPhone 13 256 Gb Green (MNGL3HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_green.html,True,iPhone 13 ,256 Gb,Green,MNGL3HU/A
iPhone 13 256GB Midnight (MLQ63HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_black.html,True,iPhone 13 ,256GB,Midnight,MLQ63HU/A
iPhone 15 Pro 128GB Blue Titanium (MTV03RX/A),53499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_128gb_gold.html,True,iPhone 15 Pro,128GB,Blue Titanium,MTV03RX/A
iPhone 14 Pro 256GB Deep Purple,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_sierra_blue.html,True,iPhone 14 Pro,256GB,Deep Purple,
iPhone 14 Plus 128GB Midnight,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_midnight.html,True,iPhone 14 Plus,128GB,Midnight,
iPhone 13 128GB Pink (MLPH3HU/A),31999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_purple.html,True,iPhone 13 ,128GB,Pink,MLPH3HU/A
iPhone 14 128GB Purple (APPLE_NEW2022_004),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_pink.html,True,iPhone 14 ,128GB,Purple,
iPhone 14 Plus 128GB Starlight,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_128gb_starlight.html,True,iPhone 14 Plus,128GB,Starlight,
iPhone 15 256GB Green (MTPA3RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_product_red.html,True,iPhone 15 ,256GB,Green,MTPA3RX/A
iPhone 15 Pro Max 256GB Blue Titanium (MU7A3RX/A),63499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_256gb_gold.html,True,iPhone 15 Pro Max,256GB,Blue Titanium,MU7A3RX/A
iPhone 14 128GB Blue,36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_blue.html,True,iPhone 14 ,128GB,Blue,
iPhone 13 512GB (PRODUCT) RED (MLQF3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_red.html,True,iPhone 13 ,512GB,(PRODUCT) RED,MLQF3HU/A
iPhone 13 256GB Starlight (MLQ73HU/A),36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_white.html,True,iPhone 13 ,256GB,Starlight,MLQ73HU/A
