title,eldorado_price,eldorado_currency,foxtrot_price,foxtrot_currency,eldorado_link,foxtrot_link,eldorado_availability,foxtrot_availability,eldorado_model,foxtrot_model,eldorado_memory,foxtrot_memory,eldorado_color,foxtrot_color,eldorado_model_number,foxtrot_model_number
iPhone 13 128GB Midnight (MLPF3),31999.0,UAH,31999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-128gb-midnight/p71357065/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_black.html,True,True,iPhone 13 ,iPhone 13 ,128GB,128GB,Midnight,Midnight,MLPF3,MLPF3HU/A
iPhone 11 128GB Black (MHDH3FS/A),23999.0,UAH,23999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-11-128-gb-black/p71273815/,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-128gb-blackno-adapter-.html,True,True,iPhone 11 ,iPhone 11 ,128GB,128GB,Black,Black,MHDH3FS/A,MHDH3
iPhone 11 128GB White (MHDJ3FS/A),23999.0,UAH,23999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-11-128gb-white-mhdj3fs-a-/p71311122/,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-128gb-whiteno-adapter-.html,True,True,iPhone 11 ,iPhone 11 ,128GB,128GB,White,White,MHDJ3FS/A,MHDJ3
iPhone 15 128GB Black (MTP03RX/A),38499.0,UAH,38499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-128gb-black-mtp03rx/p71465447/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_midnight.html,True,True,iPhone 15 ,iPhone 15 ,128GB,128GB,Black,Black,MTP03RX/A,MTP03RX/A
iPhone 15 128GB Pink (MTP13RX/A),38499.0,UAH,38499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-128gb-pink-mtp13rx/p71465448/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_purple.html,True,True,iPhone 15 ,iPhone 15 ,128GB,128GB,Pink,Pink,MTP13RX/A,MTP13RX/A
iPhone 15 Plus 128GB Black (MU0Y3RX/A),43499.0,UAH,43499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-plus-128gb-black-mu0y3rx/p71465462/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_128gb_midnight.html,True,True,iPhone 15 Plus,iPhone 15 Plus,128GB,128GB,Black,Black,MU0Y3RX/A,MU0Y3RX/A
iPhone 15 Pro 256GB Blue Titanium (MTV63RX/A),58499.0,UAH,58499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-256gb-blue-titanium-mtv63rx/p71465484/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_256gb_gold.html,True,True,iPhone 15 Pro,iPhone 15 Pro,256GB,256GB,Blue Titanium,Blue Titanium,MTV63RX/A,MTV63RX/A
iPhone 13 128GB Starlight (MLPG3),31999.0,UAH,31999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-128gb-starlight/p71357067/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_white.html,True,True,iPhone 13 ,iPhone 13 ,128GB,128GB,Starlight,Starlight,MLPG3,MLPG3HU/A
iPhone 15 Pro 256GB Black Titanium (MTV13RX/A),58499.0,UAH,58499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-256gb-black-titanium-mtv13rx/p71465481/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_256gb_space_black.html,True,True,iPhone 15 Pro,iPhone 15 Pro,256GB,256GB,Black Titanium,Black Titanium,MTV13RX/A,MTV13RX/A
iPhone 15 Pro 128GB Blue Titanium (MTV03RX/A),53499.0,UAH,53499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-128gb-blue-titanium-mtv03rx/p71465480/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_128gb_gold.html,True,True,iPhone 15 Pro,iPhone 15 Pro,128GB,128GB,Blue Titanium,Blue Titanium,MTV03RX/A,MTV03RX/A
iPhone 14 Pro Max 256GB Gold (MQ9W3RX/A),57499.0,UAH,57499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-256gb-gold/p71419411/,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_256gb_gold.html,True,True,iPhone 14 Pro Max,iPhone 14 Pro Max,256GB,256GB,Gold,Gold,MQ9W3RX/A,
