title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 512GB Midnight (MPWW3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-512gb-midnight/p71419369/,False,iPhone 14 ,512GB,Midnight,MPWW3RX/A
iPhone 14 Pro Max 512GB Space Black (MQAF3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-512gb-space-black/p71419413/,False,iPhone 14 Pro Max,512GB,Space Black,MQAF3RX/A
iPhone 14 Pro Max 1TB Deep Purple (MQC53RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-1tb-deep-purple/p71419420/,False,iPhone 14 Pro Max,1TB,Deep Purple,MQC53RX/A
iPhone 14 Plus 256GB (PRODUCT)RED (MQ573RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-256gb-product-red/p71419382/,False,iPhone 14 Plus,256GB,(PRODUCT)RED,MQ573RX/A
iPhone 13 Pro Max 256GB Graphite (MLLA3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-max-256gb-graphite/p71357118/,False,iPhone 13 Pro Max,256GB,Graphite,MLLA3
iPhone 11 128GB Black (MHDH3FS/A),23999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-11-128-gb-black/p71273815/,True,iPhone 11 ,128GB,Black,MHDH3FS/A
iPhone 13 128GB Starlight (MLPG3),31999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-128gb-starlight/p71357067/,True,iPhone 13 ,128GB,Starlight,MLPG3
iPhone 14 Pro 1TB Space Black (MQ2G3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-1tb-space-black/p71419401/,False,iPhone 14 Pro,1TB,Space Black,MQ2G3RX/A
iPhone 14 Pro Max 512GB Silver (MQAH3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-512gb-silver/p71419414/,False,iPhone 14 Pro Max,512GB,Silver,MQAH3RX/A
iPhone 14 Pro 512GB Gold (MQ233RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-512gb-gold/p71419399/,False,iPhone 14 Pro,512GB,Gold,MQ233RX/A
iPhone 15 Pro Max 256GB Natural Titanium (MU793RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-max-256gb-natural-titanium-mu793rx/p71465495/,False,iPhone 15 Pro Max,256GB,Natural Titanium,MU793RX/A
