title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 128GB Blue,34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_blue.html,True,iPhone 14 ,128GB,Blue,
iPhone 14 Plus 256GB (PRODUCT) RED,42999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_256gb_product_red.html,True,iPhone 14 Plus,256GB,(PRODUCT) RED,
iPhone 11 128GB Black (MHDH3) (без адаптера),23999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-128gb-blackno-adapter-.html,True,iPhone 11 ,128GB,Black,MHDH3
iPhone 14 Pro Max 512GB Space Black,67499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_512gb_graphite.html,True,iPhone 14 Pro Max,512GB,Space Black,
iPhone 13 128GB Starlight (MLPG3HU/A),29999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_white.html,True,iPhone 13 ,128GB,Starlight,MLPG3HU/A
iPhone 14 Pro 256GB Deep Purple,52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_256gb_sierra_blue.html,True,iPhone 14 Pro,256GB,Deep Purple,
iPhone 13 128GB Pink (MLPH3HU/A),29999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_purple.html,True,iPhone 13 ,128GB,Pink,MLPH3HU/A
iPhone 14 Pro 1TB Silver,72499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_1tb_silver.html,True,iPhone 14 Pro,1TB,Silver,
iPhone 13 128 Gb Green (MNGK3HU/A),29999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_green_60_8883.html,True,iPhone 13 ,128 Gb,Green,MNGK3HU/A
iPhone 15 256GB Blue (MTP93RX/A),43499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_256gb_blue.html,True,iPhone 15 ,256GB,Blue,MTP93RX/A
iPhone 13 Mini 256GB (PRODUCT) RED (MLK83HU/A),33999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_mini_256gb_red.html,True,iPhone 13 Mini,256GB,(PRODUCT) RED,MLK83HU/A
